timestamp,pir,radar_conf,photo,score,threshold
99190,0,1,0.3422446,11,8
107199,0,1,0.341268,11,8
115230,0,0.125,0.340242632,7.75,8
151770,0,0.875,0.33553064,10.25,8
159910,0,0.125,0.3342123,6.5,8
301760,0,0.875,0.31176776,10.25,8
309800,1,1,0.31027084,10.625,8
370500,0,0.125,0.30060272,0,8
378620,0,0,0.29904026,0,8
386700,1,0,0.2978195,0,8
390760,0,0,0.29745328,0,8
398890,0,0,0.29484088,0,8
431310,0,0,0.29020214,0,8
443430,0,0,0.28790724,0,8
451540,0,0,0.28675972,0,8
455540,0,0,0.2860517,0,8
483851,0,0,0.27994812,0,8
524142,1,0,0.2716961,0,8
532220,0,0,0.27032882,0,8
536290,0,0.875,0.26940108,5.25,8
544320,1,0.125,0.26739908,5,8
548330,0,0,0.26681316,0,8
661530,0,0.875,0.23960018,8.2,8
669631,0,1,0.25602198,10.625,8
677710,0,0.25,0.23608452,6.2000004,8
681770,0,0.875,0.25297016,8,8
689732,0,1,0.25131,8.3,8
697820,0,1,0.2312749,6.8,8
705961,1,0.125,0.24643624,6.3142856,8
714041,0,0.875,0.245264352,6.4,8
718101,0,1,0.24433666,6.533334,8
726211,1,1,0.24306702,6.6400004,8
734291,1,0.125,0.24091864,6.28,8
738381,0,0.875,0.240259408,6.22,8
746491,0,0.125,0.23916072,6.16,8
754521,0,0,0.23742736,5.7400004,8
811099,0,0,0.20839852,0,8
819190,0,0.875,0.20683604,4.9,8
827270,1,0.125,0.22377962,4.4,8
1021241,0,0.875,0.16890514,8.2,8
1029330,0,0.375,0.19248032,5.8,8
1037450,1,0.25,0.19150376,5.2000004,8
1041450,0,0.375,0.19128406,5.05,8
1073809,0,0.125,0.16619522,0,8
1081970,1,0,0.16617078,0,8
1090020,0,0.875,0.16595102,4.4,8
1110290,0,0.125,0.16592658,0,8
1118500,0,0,0.1660487,0,8
1126700,0,0,0.16599983,0,8
1179170,0,0,0.16546273,0,8
1183190,0,0,0.16536504,0,8
1191190,0,0.875,0.1654383,4.2000004,8
1199300,0,1,0.189135552,5.05,8
1389420,1,1,0.15032578,8.8,8
1441840,0,0,0.14265966,0,8
1450000,0,0,0.14126802,0,8
1458030,1,0,0.13972992,0,8
1466050,0,0,0.13816738,0,8
1510620,0,1,0.13042802,8.8,8
1514650,0,0.125,0.15891969,5.5,8
1522680,0,0,0.15708858,4.6,8
1530800,0,0.875,0.1541344,5.2000004,8
1535090,0,0.125,0.1533776,4.84,8
1543100,1,0,0.15127796,4.5,8
1551250,0,0,0.14995956,4.2571424,8
1555331,0,0,0.14937359,4.0750004,8
1571550,0,0.875,0.11871821,8.2,8
1575630,0,1,0.14600438,8.5,8
1583720,0,1,0.1446616,8.6,8
1591880,0,1,0.1430015,8.650001,8
1600030,0,1,0.14165866,8.68,8
1608110,0,1,0.13992524,8.7,8
1612130,0,1,0.13911956,8.714286,8
1620430,0,1,0.13775236,8.725,8
1628441,0,1,0.13616544,8.733333,8
1636551,0,1,0.13494474,8.740001,8
1644561,1,1,0.13462728,8.8,8
1648600,0,1,0.1339925,8.8,8
1656651,0,1,0.13284504,8.8,8
1664741,0,1,0.13164878,8.8,8
1761730,0,1,0.09186238,8.8,8
1802190,0,1,0.08719921,8.8,8
1810290,0,1,0.11801022,8.8,8
1818430,1,1,0.11652094,8.8,8
1822450,0,1,0.115593192,8.8,8
1830590,0,1,0.11466545,8.8,8
1850840,0,1,0.081364152,8.8,8
1854890,0,1,0.11185783,8.8,8
1863000,0,1,0.11061263,8.8,8
1871080,1,1,0.10883039,8.8,8
1875070,0,1,0.108171224,8.8,8
1883161,0,1,0.10687721,8.8,8
1891191,0,1,0.106022712,8.8,8
1903330,0,1,0.10380107,8.8,8
1907330,0,1,0.10353249,8.8,8
1915360,0,1,0.10267794,8.8,8
1927420,0,1,0.10050511,8.8,8
1935480,0,1,0.09952849,8.8,8
1943530,0,1,0.098600744,8.8,8
1951650,0,1,0.097209152,8.8,8
1960040,1,1,0.095841944,8.8,8
1964130,0,1,0.09525597,8.8,8
1972170,0,1,0.09415734,8.8,8
1980345,0,1,0.091935632,8.8,8
1988371,1,1,0.090788132,8.8,8
1992381,0,1,0.09034866,8.8,8
2000402,0,1,0.08895707,8.8,8
